position;rider;result
1;Christopher Froome (GBr) Team Sky;18:38:59
2;Geraint Thomas (GBr) Team Sky;0:00:12
3;Fabio Aru (Ita) Astana Pro Team;0:00:14
4;Daniel Martin (Irl) Quick-Step Floors;0:00:25
5;Richie Porte (Aus) BMC Racing Team;0:00:39
6;Simon Yates (GBr) Orica-Scott;0:00:43
7;Romain Bardet (Fra) AG2R La Mondiale;0:00:47
8;Alberto Contador (Spa) Trek-Segafredo;0:00:52
9;Nairo Quintana (Col) Movistar Team;0:00:54
10;Rafal Majka (Pol) Bora-Hansgrohe;0:01:01
11;Rigoberto Uran (Col) Cannondale-Drapac; 
12;Pierre Latour (Fra) AG2R La Mondiale;0:01:07
13;Louis Meintjes (RSA) UAE Team Emirates;0:01:24
14;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:01:29
15;Jakob Fuglsang (Den) Astana Pro Team;0:01:33
16;Mikel Landa (Spa) Team Sky;0:01:47
17;Tim Wellens (Bel) Lotto Soudal;0:01:51
18;Michal Kwiatkowski (Pol) Team Sky;0:01:56
19;Andrew Talansky (USA) Cannondale-Drapac;0:01:57
20;Serge Pauwels (Bel) Dimension Data;0:02:00
21;Nicolas Roche (Irl) BMC Racing Team;0:02:14
22;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:02:27
23;Tiesj Benoot (Bel) Lotto Soudal;0:02:30
24;Sergio Henao (Col) Team Sky;0:02:32
25;George Bennett (NZl) Team LottoNl-Jumbo;0:02:34
26;Damiano Caruso (Ita) BMC Racing Team;0:02:35
27;Mathias Frank (Swi) AG2R La Mondiale;0:02:36
28;Roman Kreuziger (Cze) Orica-Scott;0:02:41
29;Mikel Nieve (Spa) Team Sky;0:02:42
30;Esteban Chaves (Col) Orica-Scott;0:02:44
31;Sylvain Chavanel (Fra) Direct Energie;0:03:03
32;Carlos Betancur (Col) Movistar Team;0:03:17
33;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:03:32
34;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:03:33
35;Rudy Molard (Fra) FDJ;0:03:47
36;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:04:09
37;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:04:10
38;Lilian Calmejane (Fra) Direct Energie;0:04:24
39;Ondrej Cink (Cze) Bahrain-Merida;0:04:31
40;Janez Brajkovic (Slo) Bahrain-Merida;0:04:33
41;Thomas Degand (Bel) Wanty - Groupe Gobert;0:04:36
42;Jan Bakelants (Bel) AG2R La Mondiale;0:04:57
43;Laurens Ten Dam (Ned) Team Sunweb;0:05:04
