position;rider;result
1;Christopher Froome (GBr) Team Sky;47:01:55
2;Fabio Aru (Ita) Astana Pro Team;0:00:18
3;Romain Bardet (Fra) AG2R La Mondiale;0:00:51
4;Rigoberto Uran (Col) Cannondale-Drapac;0:00:55
5;Jakob Fuglsang (Den) Astana Pro Team;0:01:37
6;Daniel Martin (Irl) Quick-Step Floors;0:01:44
7;Simon Yates (GBr) Orica-Scott;0:02:02
8;Nairo Quintana (Col) Movistar Team;0:02:13
9;Mikel Landa (Spa) Team Sky;0:03:06
10;George Bennett (NZl) Team LottoNl-Jumbo;0:03:53
11;Louis Meintjes (RSA) UAE Team Emirates;0:05:00
12;Alberto Contador (Spa) Trek-Segafredo;0:05:15
13;Pierre Latour (Fra) AG2R La Mondiale;0:05:30
14;Mikel Nieve (Spa) Team Sky;0:06:18
15;Sergio Henao (Col) Team Sky;0:06:55
16;Damiano Caruso (Ita) BMC Racing Team;0:06:58
17;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:07:56
18;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:08:46
19;Carlos Betancur (Col) Movistar Team;0:10:34
20;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:11:43
21;Warren Barguil (Fra) Team Sunweb;0:14:11
22;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:15:23
23;Tiesj Benoot (Bel) Lotto Soudal;0:18:44
24;Jan Bakelants (Bel) AG2R La Mondiale;0:20:02
25;Roman Kreuziger (Cze) Orica-Scott;0:21:06
26;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:21:59
27;Bauke Mollema (Ned) Trek-Segafredo;0:22:55
28;Jarlinson Pantano (Col) Trek-Segafredo;0:23:05
29;Tony Gallopin (Fra) Lotto Soudal;0:25:44
30;Sylvain Chavanel (Fra) Direct Energie;0:26:10
31;Serge Pauwels (Bel) Dimension Data;0:29:14
32;Nicolas Roche (Irl) BMC Racing Team;0:29:28
33;Andrew Talansky (USA) Cannondale-Drapac;0:31:46
34;Thomas Degand (Bel) Wanty - Groupe Gobert;0:31:50
35;Esteban Chaves (Col) Orica-Scott;0:32:03
36;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:34:00
37;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:35:24
38;Lilian Calmejane (Fra) Direct Energie;0:35:42
39;Pierre Rolland (Fra) Cannondale-Drapac;0:36:16
40;Haimar Zubeldia (Spa) Trek-Segafredo;0:36:30
41;Jonathan Castroviejo (Spa) Movistar Team;0:36:38
42;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:36:52
43;Ben Gastauer (Lux) AG2R La Mondiale;0:37:40
44;Mathias Frank (Swi) AG2R La Mondiale;0:38:34
45;Janez Brajkovic (Slo) Bahrain-Merida;0:39:28
46;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:41:18
47;Laurens Ten Dam (Ned) Team Sunweb;0:41:59
48;Robert Kiserlovski (Cro) Katusha-Alpecin;0:42:04
49;Marco Minnaard (Ned) Wanty - Groupe Gobert;0:42:50
50;Ondrej Cink (Cze) Bahrain-Merida;0:43:22
51;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:43:31
52;Rudy Molard (Fra) FDJ;0:43:39
